Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-06T04:17:00+00:00;9.400002;1.517677;1.657698;0.514633;3.666667;332.66882;0;1000.9666
2018-01-06T04:50:00+00:00;9.133332;2.090981;2.061512;0.510218;4.266667;331.83906;0;1000.4
2018-01-06T04:52:00+00:00;9.1;2.020133;1.655844;0.509416;4.066666;334.99384;0;1000.4
2018-01-01T04:14:00+00:00;7.5;2.247751;2.261269;0.508885;3.183334;320.16638;0;1031.4834
2018-01-06T04:57:00+00:00;9.1;1.845409;1.773187;0.508416;4.366667;333.64722;0;1000.3
2018-01-01T03:45:00+00:00;8.5;1.506822;1.643898;0.508688;3.216667;328.99854;0;1031.1
2018-01-01T03:16:00+00:00;8.1;1.254101;1.634148;0.507087;3.183334;323.99994;0;1031.5
2018-01-01T00:10:00+00:00;10.0;1.583894;1.641397;0.508714;2.083333;315.833;0;1031.7002
2018-01-01T04:09:00+00:00;7.6;1.791;1.949252;0.510095;3.533333;328.333;0;1031.2002
2018-01-01T00:47:00+00:00;9.2;1.7661449999999999;1.851233;0.506741;1.066667;224.32342;0;1031.1
2018-01-01T01:45:00+00:00;8.400002;1.399827;1.638121;0.5088889999999999;3.866667;314.83294;0;1031.9
2018-01-01T01:00:00+00:00;9.6;1.549402;1.640661;0.507784;2.033334;311.83228;0;1031.1168
2018-01-04T14:12:00+00:00;15.8;164.89926;161.36096;14.379418;1.9;266.99796;0;1026.4
2018-01-01T04:19:00+00:00;7.216667;2.893329;2.666528;0.506587;3.95;317.66654;0;1031.3
2018-01-01T04:45:00+00:00;6.8;1.932512;1.6347779999999998;0.506311;3.383333;316.16568;0;1031.4834
2018-01-01T04:42:00+00:00;6.783333;1.808187;1.6435849999999999;0.508622;3.5;316.33332;0;1031.5
2018-01-01T04:48:00+00:00;6.8;1.734118;1.622646;0.505417;3.316667;330.16684;0;1031.5
2018-01-01T04:30:00+00:00;6.9;1.884964;1.627192;0.503873;3.216667;324.16662;0;1031.5
2018-01-01T04:31:00+00:00;6.9;1.640518;1.640053;0.5103139999999999;3.233333;327.5;0;1031.4668
2018-01-01T04:35:00+00:00;6.8;2.292713;1.846813;0.511722;3.7;322.66346;0;1031.6
2018-01-01T04:49:00+00:00;6.8;1.725235;1.629665;0.505022;3.1;334.99158;0;1031.5
2018-01-01T04:27:00+00:00;6.9;2.5482;2.256495;0.505281;2.5;322.48676;0;1031.5
2018-01-01T01:35:00+00:00;8.366666;1.9052850000000001;1.853301;0.5137039999999999;3.183334;325.33256;0;1032.0
2018-01-01T01:51:00+00:00;8.166667;2.215304;2.049805;0.5057849999999999;3.366667;317.66608;0;1032.0
2018-01-01T01:56:00+00:00;7.916667;1.7058;2.024833;0.503277;2.65;314.66672;0;1032.1
2018-01-01T01:49:00+00:00;8.266668;1.680621;1.646233;0.5068900000000001;3.0;323.16706;0;1032.0
